Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUZIRA,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUZIRA,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUZIRA,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUZIRA,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues

",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MBUYA II,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MBUYA II,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MBUYA II,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MBUYA II,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BANDA,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BANDA,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BANDA,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues

",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MUTUNGO,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MUTUNGO,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MUTUNGO,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAGURU II,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAGURU II,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAGURU II,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",MUTUNGO,,Social Development,,"Livelihood: Households are supported with IGAs to grow their already existing businesses or start new ones to improve their livelihoods.
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NANKULABYE I,,Social Development,,"Livelihood: Households are supported with IGAs to grow their already existing businesses or start new ones to improve their livelihoods.
",,,,Ongoing,June 2009,July 2019,,,,,,,
People In Need Agency (PINA Uganda),,Non Governmental Organisation,People In Need Agency (PINA Uganda),"Vision group, BBS television, Girls Not Brides","UNICEF Uganda and UNAIDS, Buganda Kingdom.",All,"Plot 2, Kasozi Road, Ndejje Namasuba",All,,"Justice, Law and Order ",,"Ensure access to HIV services of all children found HIV positive in our communities; Mentor young people to become peer support agents; Mentor young people ( Children living with HIV and survivors of child sexual abuse to use their stories to educate and inspire communities to take action in line with child protection) to become advocates for children; Organize community dialogues including schools to ensure rights of children are protected; Conduct radio and television talk shows and also use print media to raise awareness about HIV and sexual abuse; Use social media to reach out more children and girls – especially survivors of child sexual abuse and those at risk. We offer them counseling and refer them for treatment among others; We use music, dance and drama, storytelling/experience sharing to raise our HIV/AIDS/child sexual abuse advocacy crusade; With support from UNICEF and UNAIDS, we share our experiences at national and international conferences.",,150,"20,000",Ongoing,November 2018,30 November 2018,,,,,Namusoke Asia Mbajja / Robinah Babirye  / Nalugo Shadia,,asiambajja@yahoo.com / brobinah13@gmail.com / nalugoshadia@gmail.com
Imani Milele Children,,Non Governmental Organisation,Imani Milele Children,,St. Mbuga Primary School,Makindye,"Lusaka Zone VI, Makindye 1 Parish, Makindye Division, Kampala, P.O.Box 3940",MAKINDYE I,,Education,,"Education support of OVC by providing them with tuition. School visits and home visits/assessments are also conducted. Psychosocial support through counselings and trainings. The home (Imani Milele Children’s home) provides accommodation, feeding and medical support to children in our care. Resettlement of children, having stressed their known relatives and family assessments conducted. Follow ups are also done for the resettled children to find out how they cope up with their new environments.",,,500 OVCs,Ongoing,1989,Unidentified,,,,,Moses Ssemanda Mbuga,Director,ssbgmoses@gmail.com Tel: 0712 860759
Hope for Children Uganda,,Non Governmental Organisation,Hope for children Uganda,,,Makindye,"Barnabas Road Plot 3425, Block 244 Kisugu-Muyenga",KISUGU,,Social Development,,"Education support, family empowerment, community leader engagement","OCV, vulnerable mothers",,,Ongoing,2008,Unidentified,,,,,Immaculate Kiiza Wanendeya / Andrew Epenu,,Immaculatekiiza@hope4c.org / Andrewepenu@hope4c.org
Kasangati Child Development Centre,,Community Based Organisation,Compassion International,,Kasangati Full Gospel,Kyadondo,"P.O BOX 19132 Kasangati, Uganda",Wampeewo,,Public Administration,,Child Development Programme,Vulnerable children,,,Ongoing,December 2006,Unidentified,,,,,Pr. Stephen Kiragga,,kasangaticdc@yahoo.com
Child's i Foundation,,Non Governmental Organisation/Civil Society Organisation,Child's i Foundation,,,Makindye,"Plot 1081, Block 246 Muyenga-Kyeitabya. P.O Box 72071, Clock Tower, Kampala, Uganda.",All,,"Justice, Law and Order ",,"Prevention, Reintegration, Foster Care, Adoption and Trainings: CiF helps children return to their families by rebuilding family support systems. We work with partners to create foster care networks that keep children out of orphanages. We help repurpose orphanages into services that meet local needs: preventing family separation, reuniting families or placing children with safe adoptive parents. We work with the Government to build a national social workforce across Uganda.",,,,Ongoing,January 2017,December 2021,,,,,Eric Kamunvi,Programmes and Partnership Manager,erickamunvi@childsifoundation.org
Homes of Promise Uganda,,Non Governmental Organisation,Homes of Promise Uganda,,,Makindye,"Plot No 3, Wandera Road, Buziga Kiruddu. P.O.Box. 5866, Kampala.",BUZIGA,,"Justice, Law and Order ",,"Child reintegration with their families through skills empowerment. Activity description: Withdraw boys from the street, empower them with skills to be self supportive. This organization offers holistic empowerment to the boy child, including all the aspects of life; economic empowerment,/education and skills training, physical and health empowerment, social, emotional and spiritual empowerment.",,,,Ongoing,April 2016,March 2022,,,,,Peace Lukoosi,,peacelukoosi@yahoo.co.uk
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",KAMWOKYA I,,"Justice, Law and Order ",,"Girls Advocacy Alliance Project: National level advocacy for equal rights and opportunities for girls and young women, including forming a National level Girls Advocacy Group.","50 Out of school adolescent girls,  50 Government line Ministries-Commissioners, Director and officers from Gender, Health and Law Enforcement, 100 Boys/Male champions out of school,  100 Women role models, 50 Cultural and religious leaders, Media (Capital, Radio One, KFM, NTV, Social media)",,,Ongoing,2016,2020,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MULAGO I,,"Justice, Law and Order ",,"Girls Advocacy Alliance Project: National level advocacy for equal rights and opportunities for girls and young women, including forming a National level Girls Advocacy Group.","50 Out of school adolescent girls,  50 Government line Ministries-Commissioners, Director and officers from Gender, Health and Law Enforcement, 100 Boys/Male champions out of school,  100 Women role models, 50 Cultural and religious leaders, Media (Capital, Radio One, KFM, NTV, Social media)",,,Ongoing,2016,2020,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MAKERERE II,,"Justice, Law and Order ",,"Girls Advocacy Alliance Project: National level advocacy for equal rights and opportunities for girls and young women, including forming a National level Girls Advocacy Group.","50 Out of school adolescent girls,  50 Government line Ministries-Commissioners, Director and officers from Gender, Health and Law Enforcement, 100 Boys/Male champions out of school,  100 Women role models, 50 Cultural and religious leaders, Media (Capital, Radio One, KFM, NTV, Social media)",,,Ongoing,2016,2020,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",KAMWOKYA I,,Education,,"Economic Empowerment for out of school adolescent girls and young women: training in income generation, business planning, mentoring and startup capital",50 Out of school adolescent girls,,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MAKERERE II,,Education,,"Economic Empowerment for out of school adolescent girls and young women: training in income generation, business planning, mentoring and startup capital",50 Out of school adolescent girls,,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,Kawempe,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MULAGO I,,Education,,"Economic Empowerment for out of school adolescent girls and young women: training in income generation, business planning, mentoring and startup capital",50 Out of school adolescent girls,,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",KAMWOKYA I,,Education,,"Mentorship programme: mentoring adolescents between 10-24, organizing school clubs, capacity building","500 In school adolescents, 300 families",,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MAKERERE II,,Education,,"Mentorship programme: mentoring adolescents between 10-24, organizing school clubs, capacity building","500 In school adolescents, 300 families",,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Trailblazers Mentoring Foundation (TMF),,Non Governmental Organisation,Trailblazers Mentoring Foundation (TMF),,,Kawempe,"Plot 22, Kenneth Dale Road, Off KCCA Flats, Flat 46, Kira Road, Kamwokya",MULAGO I,,Education,,"Mentorship programme: mentoring adolescents between 10-24, organizing school clubs, capacity building","500 In school adolescents, 300 families",,,Ongoing,2016,N/A,,,,,Joyce Atimango Okker,Executive Director,joyce@trailblazersuganda.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Nakawa,"Plot 4, Acacia Avenue, Kololo",LUZIRA,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Nakawa,"Plot 4, Acacia Avenue, Kololo",KISWA,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Nakawa,"Plot 4, Acacia Avenue, Kololo",Luzira Kirombe,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Nakawa,"Plot 4, Acacia Avenue, Kololo",Biina Muungo,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Nakawa,"Plot 4, Acacia Avenue, Kololo",Port Bell,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",KABOWA,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",NAMIREMBE,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",Kasubi,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",Ndeeba,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",Musajja Alumbwa,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Rubaga,"Plot 4, Acacia Avenue, Kololo",Kabuusu,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Kawempe,"Plot 4, Acacia Avenue, Kololo",MULAGO I,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Kawempe,"Plot 4, Acacia Avenue, Kololo",BWAISE I,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Kawempe,"Plot 4, Acacia Avenue, Kololo",WANDEGEYA,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Kawempe,"Plot 4, Acacia Avenue, Kololo",Nabweru,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Central,"Plot 4, Acacia Avenue, Kololo",KISENYI I,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Central,"Plot 4, Acacia Avenue, Kololo",KAGUGUBE,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
Straight Talk Foundation (STF),,Non Governmental Organisation,Straight Talk Foundation (STF),,,Makindye,"Plot 4, Acacia Avenue, Kololo",LUWAFU,,Education,,"Youth Enterprise Model: Vocational and technical skill development, financial literacy training, peer mentoring, sexual and reproductive health",,,"140 in-school peer mentors, 125 out of school peer mentors reaching 22,869 young people in Kampala. 110 youth businesses started.","Completed, waiting for an extension",2013,2018,,,,,Suzan Ajok,Executive Director,sajok@straighttalkfoundation.org
United Nations Children's Fund (UNICEF),29,United Nations,UNICEF,,"Straight Talk Foundation, Trailblazers Mentoring Foundation, Mild May Uganda, Save the Children Uganda, Sauti Child Helpline 116",N/A,"Plot 9 George Street, Kampala",,,"Justice, Law and Order ",,"U-Report Uganda: free SMS-based platform that allows Ugandans to speak out and report on issues affecting adolescents, young people and their communities as well as to get real-time information and feedback on issues raised, new initiatives or campaigns.",,,"393, 321 U-Reporters",Ongoing,2011,Unidentified,,,Education,,Marleen Renders / Irene Naiga / Fatuma Namukose,,mrenders@unicef.org / inaiga@unicef.org / fnamukose@unicef.org
Save Street Children Uganda (SASCU),,Non Governmental Organisation,Save Street Children Uganda (SASCU),,,Kawempe,"P.O Box 28852, Mawanda Road, Kamwokya, Kampala",,,"Justice, Law and Order ",,"Rescue, Rehabilitation and Reintegration of children in street situations: Street and community outreaches, rehabilitating and re-integrating the rescued kids to their families and communities, child protection, supporting with enrolling into school, an ECCD centre to provide quality ECCD services to children.",,,,Ongoing,2008,Unidentified,,Social assistance,,,Innocent Byaruhanga Oburye,,sascu.director@gmail.com / info@sascu.org
Save Street Children Uganda (SASCU),,Non Governmental Organisation,Save Street Children Uganda (SASCU),,,Central,"P.O Box 28852, Mawanda Road, Kamwokya, Kampala",,,"Justice, Law and Order ",,"Rescue, Rehabilitation and Reintegration of children in street situations: Street and community outreaches, rehabilitating and re-integrating the rescued kids to their families and communities, child protection, supporting with enrolling into school, an ECCD centre to provide quality ECCD services to children.",,,,Ongoing,2008,Unidentified,,Social assistance,,,Innocent Byaruhanga Oburye,,sascu.director@gmail.com / info@sascu.org
Save Street Children Uganda (SASCU),,Non Governmental Organisation,Save Street Children Uganda (SASCU),,,Kawempe,"P.O Box 28852, Mawanda Road, Kamwokya, Kampala",MULAGO III,,"Justice, Law and Order ",,Livelihood Support Programme: Addressing vulnerabilities among households and subsequently prevent child abuse and associated consequences and advocacy and communication.,,,,Ongoing,2008,Unidentified,Livelihood,,,,Innocent Byaruhanga Oburye,,sascu.director@gmail.com / info@sascu.org
Save Street Children Uganda (SASCU),,Non Governmental Organisation,Save Street Children Uganda (SASCU),,,Cemtral,"P.O Box 28852, Mawanda Road, Kamwokya, Kampala",,,"Justice, Law and Order ",,Livelihood Support Programme: Addressing vulnerabilities among households and subsequently prevent child abuse and associated consequences and advocacy and communication.,,,,Ongoing,2008,Unidentified,Livelihood,,,,Innocent Byaruhanga Oburye,,sascu.director@gmail.com / info@sascu.org
Cheshire Services Uganda (CSU),,Non Governmental Organisation,Cheshire Services Uganda (CSU),,,Nakawa,"Plot 1833, Kaduyu Road, Kyambogo opposite Inter-University Council of East Africa. P.o. Box 70012, Kampala.",All,,Social Development,,"Girls Education Challenge Transition Project: education sponsorship, livelihoods, health support, rehabilitation, advocacy and campaigning, water and sanitation and every day support for girls with disabilities.",Children with disabilities,,2563 Children with disabilities,Ongoing,March 2013,April 2024,Livelihood,Social assistance,"Education, Health",,Nakiyimba Hajjira / Bwire Magina / Namirimu Josephine,"Child protection and advocacy Manager / Monitorin, Evaluation and Learning Officer / Communications Officer",nakiyimba.hope@gmail.com / maginabwire@gmail.com / josephinenamirimu2018@gmail.com
